# Chunk-averaged data for fix binvelocity_data and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
161000 31 1949.0000000000002
  8 13.75 47.5749 -0.000673729
  9 15.5833 50.9549 -0.000482478
  10 17.4167 47.4531 -0.000210955
  11 19.25 47.3437 -2.19951e-05
  12 21.0833 46.9934 1.83619e-05
  13 22.9167 46.4591 -0.000221165
  14 24.75 48.1614 -0.000145578
  15 26.5833 46.5254 -9.34899e-05
  16 28.4167 47.5751 -0.000174276
  17 30.25 48.3951 -9.84326e-05
  18 32.0833 47.2017 -0.000199437
  19 33.9167 48.7834 0.000191936
  20 35.75 49.5131 3.59709e-05
  21 37.5833 48.3397 0.000145596
  22 39.4167 45.408 0.000286975
  23 41.25 50.8374 0.000216051
  24 43.0833 51.5934 0.000323922
  25 44.9167 38.0751 0.000728665
  26 46.75 75.4923 0.000760559
  27 48.5833 0.114 0.000517229
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
224000 31 1949
  1 0.916667 362.011 -0.00170041
  2 2.75 63.9489 -0.000805647
  3 4.58333 34.4249 -0.000929956
  4 6.41667 58.5411 -0.000656089
  5 8.25 43.0909 -0.000735284
  6 10.0833 49.5283 -0.00068452
  7 11.9167 46.9566 -0.000501786
  8 13.75 51.1031 -0.000374855
  9 15.5833 46.6369 -0.000401882
  10 17.4167 48.5606 -0.000192429
  11 19.25 47.8177 -0.000360681
  12 21.0833 47.732 -0.000200773
  13 22.9167 47.9586 -1.72431e-05
  14 24.75 49.0814 0.000138595
  15 26.5833 46.2049 -3.97092e-05
  16 28.4167 47.9717 -0.00021395
  17 30.25 47.8209 -0.000104323
  18 32.0833 46.9689 0.000106381
  19 33.9167 48.1429 -1.11466e-05
  20 35.75 48.9729 1.44315e-05
  21 37.5833 47.1963 0.000217583
  22 39.4167 44.6991 0.00030792
  23 41.25 50.5394 0.000503355
  24 43.0833 50.2506 0.000324801
  25 44.9167 38.364 0.000728521
  26 46.75 72.2434 0.000589504
  27 48.5833 0.232857 0.00276022
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
227500 31 1948.9999999999998
  1 0.916667 362 -0.0017
  2 2.75 63.9671 -0.00095477
  3 4.58333 31.8574 -0.000565719
  4 6.41667 56.7523 -0.000450648
  5 8.25 43.9734 -0.000682891
  6 10.0833 48.7729 -0.000636995
  7 11.9167 49.6417 -0.000706675
  8 13.75 45.8351 -0.000788028
  9 15.5833 49.596 -0.000493174
  10 17.4167 46.4657 -0.000336546
  11 19.25 49.2569 2.98446e-05
  12 21.0833 48.2831 -7.53253e-06
  13 22.9167 47.6531 0.000175993
  14 24.75 46.826 0.000218559
  15 26.5833 49.3443 0.000355306
  16 28.4167 47.0417 0.000170866
  17 30.25 48.0131 -4.61482e-05
  18 32.0833 48.1309 7.22939e-05
  19 33.9167 48.4414 5.16227e-05
  20 35.75 49.7577 0.000114457
  21 37.5833 47.1586 0.000195866
  22 39.4167 48.47 0.00034602
  23 41.25 47.6214 0.000271122
  24 43.0833 50.1274 0.000234003
  25 44.9167 37.8329 -1.39507e-05
  26 46.75 73.8037 -6.84796e-05
  27 48.5833 0.376 0.00142162
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
231000 31 1949
  1 0.916667 362 -0.0017
  2 2.75 64.9506 -0.000631045
  3 4.58333 31.9329 -0.000811976
  4 6.41667 54.6011 -0.000685837
  5 8.25 47.0297 -0.000827095
  6 10.0833 48.072 -0.000639964
  7 11.9167 46.892 -0.000603115
  8 13.75 50.2503 -0.000367503
  9 15.5833 46.6523 -0.000380728
  10 17.4167 48.4329 -0.00010395
  11 19.25 45.9497 3.50062e-05
  12 21.0833 49.0194 0.0001355
  13 22.9167 45.8671 5.78531e-05
  14 24.75 49.6283 0.000104181
  15 26.5833 46.5223 0.000138886
  16 28.4167 46.4043 0.000118126
  17 30.25 47.6554 9.97917e-05
  18 32.0833 49.486 0.000159707
  19 33.9167 49.6774 0.0002472
  20 35.75 46.3674 0.000138631
  21 37.5833 52.0266 3.37694e-05
  22 39.4167 44.172 -0.000171311
  23 41.25 51.2671 -7.26198e-05
  24 43.0833 49.6877 0.000108798
  25 44.9167 40.7869 5.28709e-05
  26 46.75 71.3349 -3.53178e-05
  27 48.5833 0.333714 0.00199812
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
234500 31 1948.9999999999998
  1 0.916667 362 -0.0017
  2 2.75 62.6577 -0.00086564
  3 4.58333 34.9563 -0.000900231
  4 6.41667 55.8751 -0.000745927
  5 8.25 42.6351 -0.000574096
  6 10.0833 50.2934 -0.000339178
  7 11.9167 46.9174 -0.000323371
  8 13.75 48.886 -0.000238165
  9 15.5833 47.722 -0.000166198
  10 17.4167 46.3971 -0.000426128
  11 19.25 48.5506 -0.000465211
  12 21.0833 47.876 -0.000422597
  13 22.9167 48.2494 -0.000145467
  14 24.75 49.2729 1.39739e-05
  15 26.5833 46.6886 -0.000132864
  16 28.4167 48.72 -0.000120181
  17 30.25 45.9754 -0.000155908
  18 32.0833 47.5223 -7.9133e-05
  19 33.9167 49.3374 -7.58468e-05
  20 35.75 47.6983 -1.61331e-05
  21 37.5833 48.8131 5.76216e-05
  22 39.4167 48.8709 0.000220731
  23 41.25 44.6469 0.000426402
  24 43.0833 53.446 0.000200561
  25 44.9167 36.1046 0.000495599
  26 46.75 76.7546 0.000319607
  27 48.5833 0.132857 -0.000621433
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
238000 31 1949
  1 0.916667 362.015 -0.00170008
  2 2.75 65.5514 -0.000253669
  3 4.58333 32.4003 -0.000236996
  4 6.41667 56.1614 -0.000670171
  5 8.25 46.4346 -0.000618651
  6 10.0833 47.9529 -0.000594776
  7 11.9167 48.2571 -0.000383967
  8 13.75 45.9237 -0.000295685
  9 15.5833 47.456 -0.000485451
  10 17.4167 48.4889 -0.000358217
  11 19.25 48.934 -0.000189413
  12 21.0833 47.9126 -0.000110839
  13 22.9167 47.5797 -0.000138269
  14 24.75 48.2963 -6.61323e-05
  15 26.5833 46.4597 -0.000179727
  16 28.4167 48.6497 -0.00012196
  17 30.25 45.7863 -0.000152274
  18 32.0833 50.474 6.97821e-05
  19 33.9167 44.7806 0.000203564
  20 35.75 49.3403 1.84745e-06
  21 37.5833 48.7669 -0.000148683
  22 39.4167 46.5703 -0.000405031
  23 41.25 47.3946 -6.25667e-05
  24 43.0833 53.7749 -0.000198024
  25 44.9167 33.7629 0.00015326
  26 46.75 77.5546 -2.92735e-05
  27 48.5833 0.321714 0.000328098
  28 50.4167 362 0.0017
  29 52.25 0 0
  30 54.0833 0 0
  31 55.9167 0 0
241500 31 1948.9999999999998
